Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share
10152,CenturyLink,"Indianapolis, IN",2020-07-11T17:00:02.640011Z,78.03598524133477,29.61,90587292.57128176,2458651.3146934155,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T17:15:02.546349Z,78.03598524133477,30.105,85365499.12253411,2469044.1223209733,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T17:30:02.624026Z,78.03598524133477,30.022,87623895.43566994,2458366.007738241,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T17:45:02.004237Z,78.03598524133477,30.621,91361024.11490357,2471839.552760995,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T18:00:01.991404Z,78.03598524133477,29.976,91279167.77096784,2462297.025916246,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T18:15:02.833399Z,78.03598524133477,29.8,91032334.54340023,2466845.389621246,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T18:30:02.029299Z,78.03598524133477,30.22,90266819.55355065,2463456.7110916283,
10152,CenturyLink,"Indianapolis, IN",2020-07-11T18:45:02.053198Z,78.03598524133477,30.105,89082789.74171698,2480120.6059725797,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T17:15:04.184151Z,77.17346459076903,40.61,115600832.80811621,2455940.771978689,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T17:30:02.990009Z,77.17346459076903,40.848,114769120.13646354,2474034.0593287614,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T17:45:03.452582Z,77.17346459076903,39.597,117049288.58420578,2460316.549099309,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T18:00:02.807547Z,77.17346459076903,39.067,115487429.36774305,2459739.325177301,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T18:15:03.457303Z,77.17346459076903,40.276,116129153.83492035,2471259.7039238946,
11441,LightBound,"Indianapolis, IN",2020-09-28T18:30:03.126005Z,77.17346459076903,39.871,98404688.9658943,2471504.923617201,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T18:45:03.594565Z,77.17346459076903,39.642,116796130.58729261,2474303.831036915,
8738,Xiber LLC,"Indianapolis, IN",2020-09-28T19:00:03.198968Z,77.17346459076903,40.362,117286258.75549369,2468659.757139167,
11441,LightBound,"Indianapolis, IN",2020-09-28T19:15:03.554641Z,77.17346459076903,41.169,112945557.20659493,2459453.876430871,
